id,node,max,min,alpha,beta,gamma
1,13,80,0,0.042,2,0.03
2,20,140,0,0.028,3,0.03
3,21,180,0,0.028,3,0.03
4,27,120,0,0.035,4,0.03
5,35,120,0,0.035,4,0.03
6,42,80,0,0.035,4,0.03
7,44,140,0,0.035,4,0.03
8,48,100,0,0.03,4,0.03
9,49,160,0,0.04,2.5,0.03
10,67,110,0,0.04,2.5,0.03
11,73,140,0,0.042,2,0.03
12,76,140,0,0.028,3,0.03
13,78,120,0,0.035,4,0.03
14,80,160,0,0.04,2.5,0.03
15,81,80,0,0.035,4,0.03
16,87,140,0,0.03,4,0.03
17,90,140,0,0.03,4,0.03
18,93,100,0,0.04,2.5,0.03
19,97,150,0,0.04,2.5,0.03
20,101,150,0,0.04,2.5,0.03
21,108,160,0,0.04,2.5,0.03
22,110,100,0,0.04,2.5,0.03
